idx,center_nm,fwhm_nm,original_idx
0,418.24,6.99561,0
1,423.874,6.6675,1
2,429.294,6.42408,2
3,434.528,6.25124,3
4,439.603,6.13485,4
5,444.549,6.06076,5
6,449.391,6.01486,6
7,454.159,5.98302,7
8,458.884,5.95232,8
9,463.584,5.9199,9
10,468.265,5.88775,10
11,472.934,5.8579,11
12,477.599,5.83239,12
13,482.265,5.81325,13
14,486.941,5.8025,14
15,491.633,5.8022,15
16,496.349,5.81407,16
17,501.094,5.83751,17
18,505.87,5.87076,18
19,510.678,5.91208,19
20,515.519,5.95969,20
21,520.397,6.01183,21
22,525.313,6.06674,22
23,530.268,6.12279,23
24,535.265,6.1794,24
25,540.305,6.23648,25
26,545.391,6.29397,26
27,550.525,6.35179,27
28,555.71,6.40987,28
29,560.947,6.46815,29
30,566.239,6.52654,30
31,571.587,6.58497,31
32,576.995,6.64338,32
33,582.464,6.70177,33
34,587.997,6.76072,34
35,593.596,6.82113,35
36,599.267,6.88388,36
37,605.011,6.94987,37
38,610.833,7.01999,38
39,616.737,7.09511,39
40,622.732,7.17533,40
41,628.797,7.25495,41
42,634.919,7.33145,42
43,641.1,7.40537,43
44,647.341,7.47729,44
45,653.643,7.54777,45
46,660.007,7.61738,46
47,666.435,7.68669,47
48,672.927,7.75628,48
49,679.485,7.8267,49
50,686.11,7.89853,50
51,692.804,7.97235,51
52,699.567,8.04871,52
53,706.401,8.1281,53
54,713.307,8.2102,54
55,720.282,8.29433,55
56,727.324,8.3798,56
57,734.431,8.46592,57
58,741.601,8.552,58
59,748.833,8.63735,59
60,756.124,8.72128,60
61,763.472,8.80311,61
62,770.876,8.88214,62
63,778.333,8.95779,63
64,785.843,9.03034,64
65,793.402,9.1005,65
66,801.01,9.16897,66
67,808.665,9.23646,67
68,816.367,9.30368,68
69,824.112,9.37133,69
70,831.901,9.44012,70
71,839.731,9.51076,71
72,847.601,9.58396,72
73,855.509,9.66032,73
74,863.455,9.73971,74
75,871.433,9.82161,75
76,879.442,9.90551,76
77,887.478,9.99089,77
78,895.537,10.0772,78
79,902.257,9.17725,79
80,903.617,10.164,80
81,911.715,10.2508,81
82,911.872,9.31901,82
83,919.827,10.3369,83
84,921.624,9.45441,84
85,927.951,10.422,85
86,931.512,9.58399,86
87,936.082,10.5054,87
88,941.53,9.7083,88
89,944.217,10.5862,89
90,951.677,9.82789,90
91,952.355,10.6589,91
92,960.495,10.716,92
93,961.948,9.94331,93
94,968.638,10.75,94
95,972.341,10.0551,95
96,976.783,10.7533,96
97,982.851,10.1638,97
98,984.932,10.7183,98
99,993.083,10.6375,99
100,993.475,10.27,100
101,1004.21,10.3742,101
102,1015.05,10.4768,102
103,1026.0,10.5775,103
104,1037.05,10.6753,104
105,1048.19,10.769,105
106,1059.42,10.8578,106
107,1070.74,10.9405,107
108,1082.14,11.0162,108
109,1093.62,11.0839,109
110,1105.17,11.1437,110
111,1116.79,11.196,111
112,1128.47,11.2414,112
113,1140.2,11.2806,113
114,1151.98,11.3139,114
115,1163.81,11.3421,115
116,1175.67,11.3656,116
117,1187.56,11.385,117
118,1199.48,11.4009,118
119,1211.42,11.4135,119
120,1223.37,11.4229,120
121,1235.34,11.4292,121
122,1247.31,11.4325,122
123,1259.3,11.4329,123
124,1271.29,11.4305,124
125,1283.29,11.4253,125
126,1530.64,10.8577,141
127,1542.02,10.8161,142
128,1553.36,10.7738,143
129,1564.65,10.7308,144
130,1653.33,10.371,152
131,1664.2,10.3251,153
132,1675.03,10.2793,154
133,1685.8,10.2335,155
134,1696.53,10.1879,156
135,1707.2,10.1425,157
136,1717.83,10.0974,158
137,1728.4,10.0525,159
138,1738.93,10.0079,160
139,1749.4,9.96359,161
140,1759.83,9.91949,162
141,1939.44,9.16572,163
142,1948.98,9.12592,164
143,1958.49,9.08633,165
144,1967.95,9.04694,166
145,1977.37,9.00775,167
146,1986.74,8.96875,168
147,1996.07,8.92995,169
148,2005.36,8.89134,170
149,2014.61,8.85292,171
150,2023.82,8.81469,172
151,2032.99,8.77665,173
152,2042.11,8.73878,174
153,2051.19,8.70111,175
154,2060.24,8.66361,176
155,2069.24,8.62632,177
156,2078.21,8.58923,178
157,2087.13,8.55236,179
158,2096.01,8.51572,180
159,2104.86,8.47932,181
160,2113.67,8.44317,182
161,2122.44,8.40728,183
162,2131.17,8.37166,184
163,2139.87,8.33632,185
164,2148.52,8.30128,186
165,2157.15,8.26653,187
166,2165.73,8.2321,188
167,2174.28,8.198,189
168,2182.79,8.16422,190
169,2191.27,8.13079,191
170,2199.71,8.09771,192
171,2208.12,8.065,193
172,2216.5,8.03267,194
173,2224.84,8.00072,195
174,2233.14,7.96916,196
175,2241.42,7.93802,197
176,2249.66,7.90728,198
177,2257.86,7.87694,199
178,2266.04,7.84695,200
179,2274.18,7.81727,201
180,2282.29,7.78785,202
181,2290.37,7.75866,203
182,2298.42,7.72966,204
183,2306.44,7.70079,205
184,2314.42,7.67203,206
185,2322.37,7.64333,207
186,2330.29,7.61464,208
187,2338.19,7.58593,209
188,2346.05,7.55715,210
189,2353.88,7.52827,211
190,2361.68,7.49924,212
191,2369.45,7.47001,213
192,2377.19,7.44055,214
193,2384.9,7.41082,215
194,2392.58,7.38077,216
195,2400.23,7.35037,217
196,2407.85,7.31957,218
197,2415.45,7.28832,219
198,2423.01,7.25659,220
199,2430.55,7.22434,221
200,2438.05,7.19152,222
201,2445.53,7.1581,223
